SAMPLE_ID	SAMPLE_NAME	PUBCHEM_SID	PRIMARY_MOA	ASSAY_NAME	LIBRARY	CAS	ALIAS	AC50	LOG_AC50	AUC	CURVE_CLASS2	DATA_POINTS	DRUG_NAME	EFFICACY	MAX_RESPONSE	P_HILL	R2	GENE_ID	GENE_SYMBOL	SMILES	SUPPLIER	SUPPLIER_ID	DATA0	DATA1	DATA2	DATA3	DATA4	DATA5	DATA6	DATA7	DATA8	DATA9	DATA10	DATA11	DATA12	DATA13	DATA14	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14
NCGC00181349-02	Ranelic acid distrontium salt	225144325	Calcium-Sensing Receptor (CaSR) Agonist	DPI_SARS-CoV-2_General	2019_NPC-4_CPE	135459-87-9	Strontium Ranelate;3-(3-cyano-4-carboxymethyl-5-carboxy-2-thienyl)-3-azapentanedioic distrontium salt; Strontium ranelate heptahydrate; 			0.3722739479	4	4		0	0.73898126			846	CASR	O.O.O.O.O.O.O.[Sr++].[Sr++].[O-]C(=O)CN(CC([O-])=O)C1=C(C#N)C(=C(S1)C([O-])=O)CC([O-])=O	APAC	825889	-0.35310734	-0.90466249	-1.10691145	0.73898126												3.2E-10	1.6E-9	8E-9	2E-7											
NCGC00018193-11	Fluvoxamine	170464809	5-HT Reuptake Inhibitor	DPI_SARS-CoV-2_General	2019_NPC-4_CPE	54739-18-3	;FLUVOXAMINE MALEATE;Fluvoxamine; Fluvoxamina;Fluvoxamine maleate; Fluvoxamine, (Z)-Isomer	12.5892541179	-4.9	30.1732068122	4	4		29.439524832	24.33359726	0.1484452355	0.9861876943	3350	HTR1A	FC(F)(F)c1ccc(cc1)C(\CCCCOC)=N\OCCN	Tocris	1033	2.42467043	-0.27835769	-0.78293736	24.33359726												3.2E-8	1.6E-7	8E-7	0.000019999999999											
NCGC00091070-02	Diisopropylamine	170466002	Pyruvate dehydrogenase kinase isoform 4 Inhibitor	DPI_SARS-CoV-2_General	2019_NPC-4_CPE	108-18-9				-3.0518126414	4	4		0	-1.16125627					CC(C)NC(C)C	Labotest	LTBB000412	-0.35310734	-1.80932498	0.1349892	-1.16125627												3.2E-8	1.6E-7	8E-7	0.000019999999999											
NCGC00263541-01	Reboxetine mesylate	170465620		SARS-CoV-2_CPE_SRI	2019_NPC-2.2	98769-84-7				-8.6722200436	4	5		0	0.390625					CS(=O)(=O)O.CCOc3ccccc3O[C@H](c1ccccc1)[C@H]2CNCCO2	Prestwick Chemical, Inc.	Prestw-1328	-2.34549516	-1.87094311	-2.42415847	-2.30624832	0.390625											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
NCGC00160421-03	Tetrabenazine	170464675	Vesicular Monoamine Transporter 2 (VMAT2) Inhibitor	SARS-CoV-2_CPE_SRI	2019_NPC-3.2	58-46-8	 ; Nitoman;Tetrabenazine; Tetrabenazine; Tetrabenazina; Xenazine			6.8679361054	4	5		0	-0.14907169			6571	SLC18A2	CC(C)CC2CN3CCc1cc(OC)c(OC)cc1C3CC2=O	Chemical Block	A2708/0115225	4.27308448	-0.40590406	0.49418993	-1.44121365	-0.14907169											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
NCGC00018295-05	Isoxsuprine hydrochloride	170465968		SARS-CoV-2_CPE_SRI	2019_NPC-3.2	579-56-6				1.3024086566	4	5		0	0.82667028					Cl.Oc1ccc(cc1)C(O)C(C)NC(C)COc2ccccc2	Prestwick Chemical, Inc.	Prestw-68	-0.88408644	6.53136531	-1.56270869	-1.64348925	0.82667028											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
NCGC00179602-03	Testosterone propionate	170464835	Androgen Receptor Agonist	SARS-CoV-2_CPE_SRI	2019_NPC-2.2	57-85-2				1.2197289647	4	5		0	3.82254464				AR	CCC(=O)O[C@H]2CC[C@H]3[C@@H]4CCC1=CC(=O)CC[C@]1(C)[C@H]4CC[C@]23C	Vitas	STK801834	-0.18615041	-1.26002291	-0.37401302	-0.21453473	3.82254464											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
NCGC00164543-02	Lomerizine dihydrochloride	170466010	Ca channel blocker - benzhydryl class	SARS-CoV-2_CPE_SRI	2019_NPC-2.2	101477-54-7	 ; Terranas; Lomerizine HCl; LOMERIZINE DiHCl;Lomerizine; Lomerizine	12.5892541179	-4.9	44.9009992	3	5		48.609168108	44.61495536	0.1152614934	0.9368926675			Cl.Cl.Fc1ccc(cc1)C(c2ccc(F)cc2)N3CCN(CC3)Cc4ccc(OC)c(OC)c4OC	Sequoia	SRP01568l	9.14619012	-3.29642357	-1.75924643	-2.6816841	44.61495536											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
NCGC00164584-03	Cetraxate hydrochloride	170465783	Prostaglandin Synthesis and Regulation Modulator	SARS-CoV-2_CPE_SRI	2019_NPC-2.2	27724-96-5				-6.4932262905	4	5		0	0.44642857					Cl.NC[C@H]1CC[C@@H](CC1)C(=O)Oc2ccc(CCC(=O)O)cc2	Sequoia	SRP02040c	-1.62571358	-1.89639812	-0.95581105	-2.60123357	0.44642857											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
NCGC00018172-09	Indapamide	170465366	Carbonic Anhydrase Type VII Inhibitor	SARS-CoV-2_CPE_SRI	2019_NPC-3.2	26807-65-8	; Veroxil;Indapamide; Indapamida; Lozol;INDAPAMIDE; Natrix; Indapamide Anhydride			-5.5151827639	4	5		0	-2.04634774			766	CA7	NS(=O)(=O)c1cc(ccc1Cl)C(=O)NN2c3ccccc3CC2C	Microsource	01500349	-0.88408644	-0.18450184	-0.92159744	-2.25031606	-2.04634774											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
NCGC00015074-14	Acetazolamide	170464692	Carbonic anhydrase XII Inhibitor	SARS-CoV-2_CPE_SRI	2019_NPC-3.2	59-66-5				-8.7130618787	4	5		0	-2.23607535					O=S(N)(=O)c1nnc(NC(C)=O)s1	Specs	AN-153/I110543	-2.21021611	-1.46371464	-2.41752371	-0.32869785	-2.23607535											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
NCGC00022819-04	Ipratropium bromide		Muscarinic Antagonists	SARS-CoV-2_CPE_SRI	2019_NPC-3.2	66985-17-9	; Berodual; Atrovent; Bronchodual;Ipratropium bromide; fenoterol-ipratropium IK6; Duovent; Bromuro de ipratropio; Ipratroprium bromide; Iprafen			-6.1711708781	4	5		0	0.39300718					CC(C)[N+]1(C)[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3	SIGMA	I1637	-2.06286837	0.33210332	-2.81821824	-1.28950695	0.39300718											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
