SAMPLE_ID	SAMPLE_NAME	PUBCHEM_SID	PRIMARY_MOA	ASSAY_NAME	LIBRARY	CAS	ALIAS	AC50	LOG_AC50	AUC	CURVE_CLASS2	DATA_POINTS	DRUG_NAME	EFFICACY	MAX_RESPONSE	P_HILL	R2	GENE_ID	GENE_SYMBOL	SMILES	SUPPLIER	SUPPLIER_ID	DATA0	DATA1	DATA2	DATA3	DATA4	DATA5	DATA6	DATA7	DATA8	DATA9	DATA10	DATA11	DATA12	DATA13	DATA14	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14
NCGC00370823-03	Pitolisant (hydrochloride)		Histamine H3 receptor Inverse Agonist	DPI_SARS-CoV-2_General	2019_NPC-6_Tox	903576-44-3				-2.6457042602	4	4		0	0.54418243					ClC1=CC=C(CCCOCCCN2CCCCC2)C=C1	MedChem Express	HY-12199B	1.16736739	-2.62112116	-3.20884699	0.54418243												1.6E-7	8E-7	0.000019999999999	0.000059999999999											
NCGC00016914-06	CEFOTETAN		Bacterial Penicillin-binding Protein Inhibitor	DPI_SARS-CoV-2_General	2019_NPC-6_Tox	6971256-7				-9.7041917203	4	4		0	-1.55480694					CO[C@]2(NC(=O)C1SC(S1)=C(C(N)=O)C(O)=O)[C@H]3SCC(CSC4=NN=NN4C)=C(N3C2=O)C(O)=O	Microsource	01502424	-2.23186332	-2.07998647	-1.55003626	-1.55480694												1.6E-7	8E-7	0.000019999999999	0.000059999999999											
NCGC00017343-11	RETINOL		Retinol dehydrogenase 12 Substrate	DPI_SARS-CoV-2_General	2019_NPC-6_Tox	68-26-8				-32.2051833351	4	4		0	-3.73153667			145226	RDH12	CC(=C\CO)/C=C/C=C(C)/C=C/C1=C(\C)CCCC1(C)C	Microsource	01501203	-8.62778424	-6.73036273	-2.37490935	-3.73153667												1.6E-7	8E-7	0.000019999999999	0.000059999999999											
NCGC00179658-04	Acenocoumarol	170465636	Vitamin k epoxide reductase complex subunit 1 isoform 1 Inhibitor	DPI_SARS-CoV-2_General	2019_NPC-6_Tox	152-72-7				-37.1006394833	4	4		0	-5.77869914					[O-][N+](=O)c1ccc(cc1)C(CC(C)=O)C2=C(O)c3ccccc3OC2=O	Prestwick	Prestw-110	-9.53126398	-8.51441617	-2.61965192	-5.77869914												1.6E-7	8E-7	0.000019999999999	0.000059999999999											
NCGC00018125-05	Tripelennamine citrate	170465118	Histamine H1 receptor Antagonist	DPI_SARS-CoV-2_General	2019_NPC-4_Tox	6138-56-3				-28.2696357764	4	5		0	-6.1695736					O=C(O)C(O)(CC(=O)O)CC(=O)O.CN(C)CCN(Cc1ccccc1)c2ccccn2	Microsource	01500597	-7.7751399	-9.41935484	-2.75646114	-1.04119715	-6.1695736											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
NCGC00166236-02	Oteracil potassium		Orotate Phosphoribosyltransferase Inhibitor	DPI_SARS-CoV-2_General	2019_NPC-4_Tox	2207-75-2		0.0127696788	-7.893820026	2.1527505274	4	5		9.8534000279	-3.3358741	0.1474249644	0.986538186		UMPS	OC1=NC(=NC(O)=N1)C([O-])=O	Bosche	O3085	-6.96116669	-5.6	-5.59671871	3.60137023	-3.3358741											3.2E-10	1.6E-9	8E-9	4E-8	2E-7										
NCGC00015339-07	Dequalinium dichloride	225144172	Protein kinase C beta Inhibitor	DPI_SARS-CoV-2_General	2019_NPC-4_Tox	522-51-0				-20.9499416632	4	5		0	-7.65816258					CC1=CC(=C2C=CC=CC2=[N+]1CCCCCCCCCC[N+]3=C4C=CC=CC4=C(N)C=C3C)N	Prestwick	Prestw-388	-5.77412244	-2.3827957	-3.45329452	1.25754981	-7.65816258											6.4E-9	3.2E-8	1.6E-7	8E-7	0.000004										
NCGC00016760-08	Carbimazole	170465583		DPI_SARS-CoV-2_General	2019_NPC-4_Tox	22232-54-8				-11.2132016683	4	5		0	-3.8470161					S=C1N(C=CN1C)C(=O)OCC	Microsource	01505323	-3.03544175	-5.16129032	-2.35071006	3.63742901	-3.8470161											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
NCGC00160620-02	L-Methionine	225144244	S-adenosylmethionine synthetase (MAT 1 and MAT 2) Substrate	DPI_SARS-CoV-2_General	2019_NPC-4_Tox	63-68-3				-23.1088279868	4	5		0	-4.07120118					CSCC[C@H](N)C(O)=O	SIGMA	64320	-6.10479905	-6.02150538	-3.74437682	-3.61939962	-4.07120118											1.6E-8	8E-8	4E-7	0.000002	0.0000099999999999										
NCGC00263655-01	Huperzine A	170466837	Acetylcholinesterase Inhibitors	DPI_SARS-CoV-2_General	2019_NPC-4_Tox	102518-79-6				-29.9075403784	4	5		0	-4.54647357				ACHE	CC2=C[C@H]\3CC=1NC(=O)C=CC=1[C@@](N)(C2)C/3=C\C	Enzo	C117	-8.91131084	-8.90322581	-3.8590456	-1.51897593	-4.54647357											3.2E-8	1.6E-7	8E-7	0.000004	0.000019999999999										
